index,cluster
158_CD4_NAIVE,9
159_CD4_NAIVE,9
160_CD4_NAIVE,9
161_CD4_NAIVE,9
162_CD4_NAIVE,9
163_CD4_NAIVE,9
164_CD4_NAIVE,9
165_CD4_NAIVE,9
166_CD4_NAIVE,9
167_CD4_NAIVE,9
168_CD4_NAIVE,9
169_CD4_NAIVE,9
170_CD4_NAIVE,9
171_CD4_NAIVE,9
172_CD4_NAIVE,9
173_CD4_NAIVE,9
174_CD4_NAIVE,9
175_CD4_NAIVE,9
176_CD4_NAIVE,9
177_CD4_NAIVE,9
178_CD4_NAIVE,9
179_CD4_NAIVE,9
180_CD4_NAIVE,9
181_CD4_NAIVE,9
182_CD4_NAIVE,9
183_CD4_NAIVE,9
184_CD4_NAIVE,9
185_CD4_NAIVE,9
186_CD4_NAIVE,9
187_CD4_NAIVE,9
188_CD4_NAIVE,9
189_CD4_NAIVE,9
190_CD4_NAIVE,9
191_CD4_NAIVE,9
192_CD4_NAIVE,9
193_CD4_NAIVE,9
194_CD4_NAIVE,9
195_CD4_NAIVE,9
196_CD4_NAIVE,9
197_CD4_NAIVE,9
198_CD4_NAIVE,9
199_CD4_NAIVE,9
200_CD4_NAIVE,9
201_CD4_NAIVE,9
202_CD4_NAIVE,9
203_CD4_NAIVE,9
204_CD4_NAIVE,9
205_CD4_NAIVE,9
206_CD4_NAIVE,9
207_CD4_NAIVE,9
208_CD4_NAIVE,9
209_CD4_NAIVE,9
210_CD4_NAIVE,9
211_CD4_NAIVE,9
212_CD4_NAIVE,9
213_CD4_NAIVE,9
214_CD4_NAIVE,9
215_CD4_NAIVE,9
216_CD4_NAIVE,9
217_CD4_NAIVE,9
218_CD4_NAIVE,3
219_CD4_NAIVE,9
220_CD4_NAIVE,9
221_CD4_NAIVE,9
222_CD4_NAIVE,9
223_CD4_NAIVE,9
224_CD4_NAIVE,9
225_CD4_NAIVE,9
226_CD4_NAIVE,9
227_CD4_NAIVE,9
228_CD4_NAIVE,9
229_CD4_NAIVE,9
230_CD4_NAIVE,9
231_CD4_NAIVE,9
232_CD4_NAIVE,9
233_CD4_NAIVE,9
234_CD4_NAIVE,9
235_CD4_NAIVE,9
236_CD4_NAIVE,9
237_CD4_NAIVE,9
238_CD4_NAIVE,9
239_CD4_NAIVE,9
240_CD4_NAIVE,9
241_CD4_NAIVE,9
242_CD4_NAIVE,9
243_CD4_NAIVE,9
244_CD4_NAIVE,9
245_CD4_NAIVE,9
246_CD4_NAIVE,9
247_CD4_NAIVE,9
248_CD4_NAIVE,9
249_CD4_NAIVE,9
0_NK,4
1_NK,4
2_NK,4
3_NK,4
4_NK,4
5_NK,4
6_NK,4
7_NK,4
8_NK,4
9_NK,4
10_NK,4
11_NK,4
12_NK,4
13_NK,4
14_NK,4
15_NK,4
16_NK,4
17_NK,4
18_NK,4
19_NK,4
20_NK,4
21_NK,4
22_NK,4
23_NK,4
24_NK,4
25_NK,4
26_NK,4
27_NK,4
28_NK,4
29_NK,4
30_NK,4
31_NK,4
32_NK,4
33_NK,4
34_NK,4
35_NK,4
36_NK,4
37_NK,4
38_NK,4
39_NK,4
40_NK,4
41_NK,4
42_NK,4
43_NK,4
44_NK,4
45_NK,4
46_NK,4
47_NK,4
48_NK,4
49_NK,4
50_NK,4
51_NK,4
52_NK,4
53_NK,4
54_NK,4
55_NK,4
56_NK,4
57_NK,4
58_NK,4
59_NK,4
60_NK,4
61_NK,4
62_NK,4
63_NK,4
64_NK,4
65_NK,4
66_NK,4
67_NK,4
68_NK,4
69_NK,4
70_NK,4
71_NK,4
72_NK,4
73_NK,4
74_NK,4
75_NK,4
76_NK,4
77_NK,4
78_NK,4
79_NK,4
80_NK,4
81_NK,4
82_NK,4
83_NK,4
84_NK,4
85_NK,4
86_NK,4
87_NK,4
88_NK,4
89_NK,4
90_NK,4
91_NK,4
92_NK,4
93_NK,4
94_NK,4
95_NK,4
96_NK,4
97_NK,4
98_NK,4
99_NK,4
100_NK,4
101_NK,4
102_NK,4
103_NK,4
104_NK,4
105_NK,4
106_NK,4
107_NK,4
108_NK,4
109_NK,4
110_NK,4
111_NK,4
112_NK,4
113_NK,4
114_NK,4
115_NK,4
116_NK,4
117_NK,4
118_NK,4
119_NK,4
120_NK,4
121_NK,4
122_NK,4
123_NK,4
124_NK,4
125_NK,4
126_NK,4
127_NK,4
128_NK,4
129_NK,4
130_NK,4
131_NK,4
132_NK,4
133_NK,4
134_NK,4
135_NK,4
136_NK,4
137_NK,4
138_NK,4
139_NK,4
140_NK,4
141_NK,4
142_NK,4
143_NK,4
144_NK,4
145_NK,4
146_NK,4
147_NK,4
148_NK,4
149_NK,4
150_NK,4
151_NK,4
152_NK,4
153_NK,4
154_NK,4
155_NK,4
156_NK,4
157_NK,4
158_NK,4
159_NK,4
160_NK,4
161_NK,4
162_NK,4
163_NK,4
164_NK,4
165_NK,4
166_NK,4
167_NK,4
168_NK,4
169_NK,4
170_NK,4
171_NK,4
172_NK,4
173_NK,4
174_NK,4
175_NK,4
176_NK,4
177_NK,4
178_NK,4
179_NK,4
180_NK,4
181_NK,4
182_NK,4
183_NK,4
184_NK,4
185_NK,4
186_NK,4
